qc.sample_name	Gender	facepheno.Age	Xc	Yc
187525967_S1	Male	56	1.004971087	0.996043421
187526015_S1	Female	23	2.006550814	0.00436721
187526016_S1	Male	60	1.013685143	1.00876243
187526017_S1	Female	51	2.022956278	0.004556208
187526018_S1	Female	47	2.015745148	0.003661662
187526019_S1	Male	31	1.010550269	1.012618949
187526020_S1	Female	30	2.031501397	0.003725972
187526021_S1	Male	48	1.022668282	1.019207475
187526022_S1	Male	59	1.01946472	1.014760746
187526023_S1	Male	58	1.011538128	1.008068014
187526024_S1	Male	64	1.010878819	0.928010595
187526028_S1	Female	29	2.014653427	0.00327774
187526029_S1	Female	27	2.00530416	0.003149345
187526030_S1	Female	53	2.005754141	0.003487358
187526031_S1	Female	25	1.994360372	0.003759752
187526032_S1	Female	68	2.012523482	0.003041417
187526033_S1	Female	40	2.013444599	0.003090712
187526034_S1	Female	60	1.996868668	0.004420704
187526035_S1	Male	39	1.007335395	1.006805126
187526036_S1	Male	54	1.012955466	0.978744939
187526037_S1	Female	38	2.002918111	0.003647638
187526038_S1	Female	23	2.024588188	0.004339092
187526039_S1	Male	51	1.006585319	1.008134805
187526040_S1	Female	26	2.025632878	0.004236839
187526041_S1	Female	50	2.01006361	0.004177347
187526042_S1	Male	61	1.015430562	1.010253858
187526043_S1	Female	35	2.007739308	0.003665988
187526044_S1	Female	47	2.013807258	0.004104861
187526045_S1	Female	23	2.020321761	0.00338696
187526046_S1	Female	56	2.017323586	0.003496503
187526047_S1	Female	58	1.991456034	0.003559986
187526048_S1	Female	37	2.013946004	0.003933488
187526049_S1	Male	26	1.013483146	1.000802568
187526050_S1	Female	54	2.00592154	0.003289744
187526051_S1	Female	49	2.015421228	0.004188482
187526052_S1	Female	51	2.021649096	0.003388554
187526053_S1	Male	42	1.009604929	0.990032621
187526054_S1	Female	26	2.010757137	0.00413736
187526055_S1	Female	33	2.01404741	0.003902058
187526056_S1	Female	31	2.021481354	0.003780718
187526057_S1	Female	58	2.015407804	0.003684475
187526058_S1	Female	31	1.010198699	1.009319501
187526059_S1	Female	48	2.004224551	0.003899586
187526060_S1	Female	37	2.037029155	0.00510747
187526061_S1	Male	60	1.004639474	0.982988595
187526062_S1	Male	44	1.006273313	1.001865039
187526064_S1	Male	51	1.009775078	0.999715289
187526065_S1	Female	50	2.021869305	0.00381845
187526066_S1	Male	59	1.007177871	1.00210084
187526067_S1	Female	34	2.013844302	0.004614767
187526068_S1	Female	26	2.014571012	0.003771321
187526069_S1	Male	42	1.013723849	1.011882845
187526070_S1	Female	62	1.991204495	0.003257594
187526071_S1	Female	54	2.017483444	0.00388521
187526072_S1	Female	45	2.017061439	0.003630093
187526073_S1	Male	39	1.00896268	1.006171026
187526074_S1	Male	27	1.011065542	1.010756016
187526076_S1	Female	50	1.98826912	0.003680276
187526077_S1	Male	27	1.008330206	1.008180113
187526079_S1	Male	23	1.008157716	1.008497621
187526080_S1	Female	40	2.004346009	0.004346009
187526081_S1	Female	27	2.003734409	0.003883785
187526082_S1	Female	23	2.014982609	0.004637474
187526083_S1	Male	66	1.00995101	1.015117994
187526084_S1	Male	45	1.013226114	1.017670088
187526085_S1	Female	35	2.027908844	0.004216444
187526086_S1	Female	31	2.024583263	0.004714598
187526087_S1	Male	62	1.01430575	1.007760636
187526088_S1	Male	65	1.007663207	0.76554467
187526089_S1	Female	57	2.002719239	0.003738953
187526090_S1	Female	54	1.982778725	0.003587766
187526091_S1	Female	47	1.990207812	0.004352084
187526092_S1	Male	53	1.0050596	1.000257268
187526093_S1	Female	46	2.00660066	0.00330033
187526094_S1	Female	49	2.002102369	0.003234414
187526095_S1	Female	38	1.996534171	0.0030326
187526096_S1	Female	55	1.996352785	0.003647215
187526097_S1	Male	46	1.997785336	0.003796567
187526098_S1	Female	22	2.019126491	0.003154885
187526099_S1	Female	55	1.988414503	0.003647286
187526100_S1	Female	18	2.012641177	0.003730183
187526101_S1	Female	24	2.014666152	0.003473562
187526102_S1	Female	74	2.006599483	0.003567288
187526103_S1	Female	57	2.001394093	0.003833754
187526104_S1	Female	49	2.00221832	0.003697199
187526105_S1	Male	56	1.012378357	1.000700662
187526106_S1	Female	27	2.043943534	0.003642987
187526107_S1	Female	65	2.016458672	0.003617291
187526108_S1	Male	51	1.013439731	1.01700966
187526109_S1	Female	49	2.012313105	0.003908922
187526110_S1	Female	33	2.023322657	0.003613369
187526123_S1	Female	31	2.001042318	0.0045862
187526171_S1	Male	21	1.003532255	0.991262316
187526207_S1	Female	21	2.015349887	0.004334086
187526255_S1	Female	21	2.025997987	0.004696411
187526267_S1	Female	47	2.006715272	0.003453569
187526303_S1	Female	21	2.014229935	0.004511931
187526351_S1	Male	50	1.005288111	1.000911743
187526363_S1	Male	61	0.997399445	0.986130374
187526399_S1	Female	53	2.007841637	0.003251411
187526411_S1	Male	36	1.005768438	1.008652658
187526447_S1	Female	44	2.023472558	0.004602462
187526459_S1	Male	19	1.007131714	1.013149097
187526495_S1	Male	53	1.001318471	1.001078749
187526507_S1	Female	21	2.007902535	0.003512238
187526543_S1	Female	44	2.012830653	0.003515247
187526795_S1	Female	53	1.986217173	0.003725088
187526831_S1	Female	28	2.009088614	0.004039384
187526843_S1	Male	19	1.000682594	1.005290102
187526879_S1	Female	47	1.99015919	0.003473227
187528271_S1	Male	18	1.008609213	1.013224461
187528283_S1	Female	26	2.008563178	0.004779448
187528319_S1	Male	20	1.005062925	1.004194995
187545227_S1	Male	19	1.009863339	1.017468806
187545263_S1	Female	21	2.002586844	0.004065041
187545275_S1	Female	19	2.010483401	0.00366087
187545311_S1	Female	48	2	0.003796147
187545419_S1	Male	35	1.008995117	1.01464919
187545467_S1	Male	19	1.007642976	1.006764473
187545503_S1	Female	57	1.995039683	0.004960317
187545515_S1	Male	45	1.008032879	1.005043901
187545551_S1	Female	47	1.997391588	0.003586567
187545563_S1	Male	54	1.006651885	0.997339246
187545599_S1	Female	29	2.010528331	0.003828484
187546127_S1	Female	38	2.003333918	0.003509388
187546139_S1	Female	53	1.981070565	0.004206541
187546175_S1	Female	31	2.0152581	0.004359457
