visit1	Best Match	Group	Score
dynamic.FACE.voice.v1_visit1.complete.coeff54	dynamic.FACE.voice.v1_visit2.complete.coeff54	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff21	dynamic.FACE.voice.v1_visit2.complete.coeff21	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff26	dynamic.FACE.voice.v1_visit2.complete.coeff26	voice.v1	100
dynamic.FACE.face_lmdist.v3_visit1.SN_LS	dynamic.FACE.face_lmdist.v3_visit2.SN_LS	face_lmdist.v3	100
dynamic.FACE.voice.v1_visit1.complete.coeff00	dynamic.FACE.voice.v1_visit2.complete.coeff00	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff01	dynamic.FACE.voice.v1_visit2.complete.coeff01	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff49	dynamic.FACE.voice.v2_visit2.complete.coeff49	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff48	dynamic.FACE.voice.v2_visit2.complete.coeff48	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff47	dynamic.FACE.voice.v2_visit2.complete.coeff47	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff46	dynamic.FACE.voice.v2_visit2.complete.coeff46	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff45	dynamic.FACE.voice.v2_visit2.complete.coeff45	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff42	dynamic.FACE.voice.v2_visit2.complete.coeff42	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff41	dynamic.FACE.voice.v2_visit2.complete.coeff41	voice.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff07	dynamic.FACE.voice.v1_visit2.complete.coeff07	voice.v1	100
dynamic.FACE.face_lmdist.v1_visit1.SN_LS	dynamic.FACE.face_lmdist.v1_visit2.SN_LS	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v1_visit1.EBR_EBL	dynamic.FACE.face_lmdist.v1_visit2.EBR_EBL	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v1_visit1.LS_ST	dynamic.FACE.face_lmdist.v1_visit2.LS_ST	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v1_visit1.ENR_ENL	dynamic.FACE.face_lmdist.v1_visit2.ENR_ENL	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff43	dynamic.FACE.voice.v1_visit2.complete.coeff43	voice.v1	100
dynamic.FACE.face.v2_visit1.ColorPC	dynamic.FACE.face.v2_visit2.ColorPC	face.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff11	dynamic.FACE.voice.v2_visit2.complete.coeff11	voice.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff19	dynamic.FACE.voice.v1_visit2.complete.coeff19	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff15	dynamic.FACE.voice.v1_visit2.complete.coeff15	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff13	dynamic.FACE.voice.v1_visit2.complete.coeff13	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff12	dynamic.FACE.voice.v1_visit2.complete.coeff12	voice.v1	100
dynamic.FACE.face.v6_visit1.DepthPC	dynamic.FACE.face.v6_visit2.DepthPC	face.v6	100
dynamic.FACE.voice.v1_visit1.complete.coeff62	dynamic.FACE.voice.v1_visit2.complete.coeff62	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff69	dynamic.FACE.voice.v1_visit2.complete.coeff69	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff83	dynamic.FACE.voice.v2_visit2.complete.coeff83	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff82	dynamic.FACE.voice.v2_visit2.complete.coeff82	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff81	dynamic.FACE.voice.v2_visit2.complete.coeff81	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff80	dynamic.FACE.voice.v2_visit2.complete.coeff80	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff85	dynamic.FACE.voice.v2_visit2.complete.coeff85	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff84	dynamic.FACE.voice.v2_visit2.complete.coeff84	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff89	dynamic.FACE.voice.v2_visit2.complete.coeff89	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff88	dynamic.FACE.voice.v2_visit2.complete.coeff88	voice.v2	100
dynamic.FACE.2dface.v1_visit1.GJET	dynamic.FACE.2dface.v1_visit2.GJET	2dface.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff90	dynamic.FACE.voice.v1_visit2.complete.coeff90	voice.v1	100
dynamic.FACE.face.v6_visit1.ColorPC.mirror	dynamic.FACE.face.v6_visit2.ColorPC.mirror	face.v6_mirror	100
dynamic.FACE.face_lmdist.v3_visit1.TR_G	dynamic.FACE.face_lmdist.v3_visit2.TR_G	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v2_visit1.IRR_IRL	dynamic.FACE.face_lmdist.v2_visit2.IRR_IRL	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v2_visit1.TR_GNpa	dynamic.FACE.face_lmdist.v2_visit2.TR_GNpa	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v2_visit1.CPHR_CPHL	dynamic.FACE.face_lmdist.v2_visit2.CPHR_CPHL	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v2_visit1.LS_ST	dynamic.FACE.face_lmdist.v2_visit2.LS_ST	face_lmdist.v2	100
dynamic.FACE.face.v3_visit1.DepthPC.mirror	dynamic.FACE.face.v3_visit2.DepthPC.mirror	face.v3_mirror	100
dynamic.FACE.voice.v2_visit1.complete.coeff63	dynamic.FACE.voice.v2_visit2.complete.coeff63	voice.v2	100
dynamic.FACE.face_lmdist.v3_visit1.CPHR_CPHL	dynamic.FACE.face_lmdist.v3_visit2.CPHR_CPHL	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v3_visit1.EXL_ENL	dynamic.FACE.face_lmdist.v3_visit2.EXL_ENL	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v2_visit1.LS_LI	dynamic.FACE.face_lmdist.v2_visit2.LS_LI	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v1_visit1.LS_LI	dynamic.FACE.face_lmdist.v1_visit2.LS_LI	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff97	dynamic.FACE.voice.v1_visit2.complete.coeff97	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff94	dynamic.FACE.voice.v1_visit2.complete.coeff94	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff93	dynamic.FACE.voice.v1_visit2.complete.coeff93	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff91	dynamic.FACE.voice.v1_visit2.complete.coeff91	voice.v1	100
dynamic.FACE.face_lmdist.v3_visit1.N_LS	dynamic.FACE.face_lmdist.v3_visit2.N_LS	face_lmdist.v3	100
